Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
1,Casual,3,1000000,1648,12,134373,2134,979,352,0,5,2,3,13,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,51.11111111
1,Business,2.6,1000,1284,6,176266,3854,2509,449,3,2,5,1,22555,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,5,0,0,0,2,50
1,Media & Video,2.9,5000,2833,9,338045,5522,3988,801,2,2,2,10,30481,0,1,1,1,0,0,0,0,0,0,1,5,0,1,0,3,0,0,0,0,92
1,Transportation,2.9,5000000,2430,18,269241,4387,1930,550,5,3,5,2,20866,1,0,1,1,0,0,0,0,0,0,3,7,0,1,0,9,1,0,1,0,51.76470588
1,Comics,2.3,1000,786,9,79807,1203,368,156,1,6,3,7,12449,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,6,0,0,1,2,50
1,News & Magazines,2.3,100000,1792,12,201445,2545,1189,383,1,1,4,10,25958,1,0,1,1,0,0,0,0,0,0,1,4,0,1,0,3,0,0,1,0,51.11111111
1,Travel & Local,2.9,1000,464,9,77202,734,210,90,1,6,2,0,130270,0,1,1,1,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,2,100
1,Tools,2.7,1000,686,12,75190,1037,429,143,1,1,2,0,135513,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
1,Puzzle,2.8,50000,860,72,123677,1536,818,211,0,7,2,8,18805,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,92
1,Sports,2.8,5000,1879,3360,169367,2903,1211,400,1,3,3,0,128143,0,0,1,1,0,0,0,0,0,0,3,1,0,1,0,5,0,0,0,1,50
1,Books & Reference,2.7,1000,844,9,116335,1619,744,209,7,2,2,7,27486,0,1,1,1,0,0,0,0,0,0,7,8,0,1,0,11,0,0,0,2,95
1,Music & Audio,2.9,1000,1694,5123,172785,2535,1358,348,3,2,5,1,29178,1,1,1,1,0,0,0,0,0,0,3,2,0,1,0,6,0,0,1,1,92
1,Finance,2.3,5000,990,9,82442,1354,759,239,0,2,5,0,57810,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,4,0,0,0,2,50
1,Business,2.9,5000,1185,10,104227,1146,293,111,2,1,2,0,66203,0,1,1,1,0,0,0,0,0,0,3,4,0,1,0,8,0,0,1,1,50
1,Music & Audio,2.8,1000,1851,15,180135,2564,1065,384,0,3,2,0,53153,0,0,1,1,0,0,0,0,0,0,3,3,0,1,0,5,0,0,0,2,50
